Id,SalePrice
1461,122790.27403878569
1462,163774.3873220685
1463,183320.5217097629
1464,191076.46523393758
1465,181004.3430173132
1466,170192.41395966368
1467,185648.4393007633
1468,173373.71956783708
1469,179034.91589808103
1470,126733.84381496416
1471,198962.1747484756
1472,100686.72522939643
1473,107783.9823903042
1474,142579.44777798306
1475,116390.40851233286
1476,375151.47543993336
1477,245783.4253015877
1478,276476.194138559
1479,275577.023329501
1480,524171.5700953074
1481,351291.09572075465
1482,203443.2830084094
1483,180122.8635503662
1484,170066.0998012868
1485,188790.57701174536
1486,191367.09360915094
1487,313513.77460824803
1488,214010.28016026955
1489,203711.27091776906
1490,233593.04721635763
1491,195017.49476631015
1492,89146.17108032487
1493,185125.3044331326
1494,300571.3832567599
1495,261618.43128359359
1496,240313.36898280084
1497,171975.91705379923
1498,160359.93779295296
1499,163831.51462030585
1500,157417.3835262465
1501,170447.09549579024
1502,157909.12360268275
1503,277420.47472668416
1504,239749.14558674506
1505,236334.51646871594
1506,175580.23458615944
1507,252860.9252677568
1508,186704.09512181618
1509,157428.27688456737
1510,145702.93416527633
1511,143762.13032818775
1512,174162.11023426417
1513,136119.45373683373
1514,162057.1223127086
1515,193098.51950041542
1516,149097.9616878576
1517,158279.90616234642
1518,134464.50709513333
1519,232730.5159613704
1520,133726.05569327535
1521,133341.12047594876
1522,166569.37329675135
1523,114707.61585796627
1524,119848.50335364738
1525,126792.63291320113
1526,105481.31785631509
1527,101181.56468065167
1528,135422.42071455592
1529,149398.2985291543
1530,170123.57776980783
1531,101918.99091992513
1532,100351.88948437419
1533,143412.73404701843
1534,117091.80356566544
1535,164362.10477908002
1536,123297.29507391242
1537,53165.63326508021
1538,142062.91457896243
1539,177844.8257159587
1540,98430.92663561516
1541,133456.42798007658
1542,147606.20798746607
1543,206134.28872846437
1544,57087.15351050041
1545,92647.40924932175
1546,127175.33858927371
1547,138783.65175023058
1548,133407.2987096491
1549,116094.1945266256
1550,136544.10949854812
1551,116736.63183584018
1552,146962.35970578092
1553,141596.9376600819
1554,116129.62425455995
1555,169138.73320974212
1556,86483.704379377
1557,113777.78969960957
1558,86664.36554317296
1559,80225.447531199
1560,129589.13414466598
1561,144328.30676465068
1562,131853.35000470257
1563,129122.36412295212
1564,147377.91476288703
1565,151589.86645242403
1566,234276.24692924746
1567,68383.54594141184
1568,241620.60894750615
1569,149992.16139906703
1570,144783.18099627958
1571,122097.60861788307
1572,148984.96743942986
1573,224411.81316042092
